title,artist,genre,lyricist,music,key,beat,lyrics,metaphor,metaphor_interpretation,metaphor_source_domain,metaphor_target_domain
Anothaththa Vila – අනෝතත්ත විල,Amitha Wedisinghe,Classics,Sunil Sarath Perera,Victor Dalugama,G,4/4,"අනෝතත්ත විල නෙළුම නෙළාලා
පීරා වරළස මල් ගවසාලා
නාග ලොවින් බැස නාළිය ගමනින්
වරඟන පිරිවරිනා එරන්දතිය එනවා
සිතක උපන් දොල සංසිඳුවාලා
මතක සිනාවෙන් මුව සරසාලා
ඉරට මුවාවෙන් සඳට මුවාවෙන්
හිතට තුරුළු වෙනවා එරන්දතිය එනවා
කෝමළ ගමනින් කෝළ හැඟුම් හල
කාල ගිරෙන් සිතුවිලි සේනා ගෙන
වරඟන පිරිවරිනා එරන්දතිය එනවා
නළලත කුංකුම තිලක තියාලා
නීල වර්ණයෙන් කැළුම් නෙළාලා
පාද කිංකිණී සොළවා එරන්දතිය එනවා",පීරා වරළස,කොණ්ඩය,වරලස,කෝණ්ඩය
Adawan Wu Denethin | අඩවන් වූ දෙනෙතින්,W.D.Amaradewa,,,,Bb major,,"අඩවන් වූ දෙනෙතින් ගලනා  
මෙත් මුදිතා කරුණා ධාරා  
තෙමා තෙමා හද ගලා ගලා යන  
ලොව්තුරු ගුණ මහිමේ 
මහමෙව්නා උයනේ …………  
සමාධි බුදු පිළිමේ 
අඩවන් වූ දෙනෙතින් ගලනා  
මෙත් මුදිතා කරුණා ධාරා 
පිරි ඉතිරී යන මහ වතුරක් සේ  
ගලා හැලෙන සිහිළැල් ගඟුලක් සේ 
ගිමන් නිවාලන මේ භව කතරේ 
නිවන් සදා ලන බුදු ගුණ මහිමේ 
මහමෙව්නා උයනේ …………  
සමාධි බුදු පිළිමේ",පිරි ඉතිරී යන මහ වතුරක් සේ,අප්‍රමාණ වූ බුදු ගුණ,පිරී ඉතිරී යන මහ වතුර,අප්‍රමාණ වූ
Adara Hangum – ආදර හැඟුම්,W.D.Amaradewa,Classics,Dayananda Gunawardhana,Somadasa Elvitigala,E minor,7/8,"ආදර හැඟුම් ආදර හැඟුම් 
නුපුරුදුයි මට නුපුරුදුයි ඒ හැඟුම් 
ආදර හැඟුම් ආදර හැඟුම් 
කිතිකවයි හද කිතිකවයි ඒ හැඟුම් 
ආදර හැඟුම් ආදර හැඟුම් 
ආදර හැඟුම් 
සැඳෑ අඳුරේ සැළෙන තරු එළි 
මගේ හද තුළ කරයි විමසිලි 
නැගෙන ගනඳුර වඩයි සිතුවිලි 
මේ මඟුල් රෑ බිඳෙයි ඉවසිලි 
කිමද ඔබ මල් කුමරියන්නේ 
පෙති විදා සතුටින් නොඉන්නේ 
රහස නැතිවද මං නොදන්නේ 
තුරුළෙ බමරුන් නොවෙද ඉන්නේ 
ආදර",නුපුරුදුයි ඒ හැඟුම්,ආදරයක් නොලැබීම,නුපුරුදු,නොලැබීම
Mala Giraviye | මාල ගිරවියේ,Karunaratna Divulgane,New Pop,Rathna Sri Wijesinge,H.M.Jayawardhana,G minor,6/8,"මාල ගිරවියේ ... මාල ගිරවියේ 
මට නුඹත් එක්ක අපේ ගමට පියාඹන්න ආසයි 
මං දන්න කියන ගහකොල මල් පෙන්නන්නට ආසයි 
මාල ගිරවියේ... මාල ගිරවියේ 
දුර නෑයො පවා ගේ දොරකඩ එකතුවෙලා හිදිවි 
නුඹේ මාලෙ හැබෑ රත්තරන්ද අත ගලා බලාවි 
මේ සේද ඇදුම් ඉල්ල ගත්තේ කාගෙන්දැයි අසාවි 
මගෙ උර තලයේ හිස තියාන හෙමිහිට ඉකි බිදිවි 
අපෙ නැති බැරිකම් ඒ තරමට අමිහිරිදැයි අසාවි 
ඒනිසා තවත් ටික දවසක් ඉවසමු අපි කුමාරි",මාල ගිරවියේ,ආදරවන්තිය,මාල ගිරවිය,ආදරවන්තිය
Mage Pem Lowa Sihasun | මගේ පෙම්ලොව සිහසුන්,Karunaratna Divulgane,New Pop,Ranil Jayasena,H.M.Jayawardhana,G minor,2/4,"මගේ පෙම්ලොව සිහසුන් අරා සිටි  
කුමරියේ ඔබ කලත් අභිනික්මන් 
සිහින උයනේ කරමින් සක්මන් 
කරනු ඇයි තව මා සිතේ හොල්මන් 
ගසක සෙවනක පවන් රැල්ලක  
සිහල බව රැඳි ඔබේ සෙනෙහස 
හද නිදන් කල මතකයේ සටහන් 
වගෙයි උදුනක ඇවිලෙනා ගිනිදැල් 
සුලඟෙ සෙලවෙන පහන් රැල්ලක 
අතිර බව රැඳි ඔබේ ප්‍රේමය 
හිත නිදන් කල මතකයේ සටහන් 
වගෙයි ගල් මත ඇඳුනු බිතු සිතුවම්",මගේ පෙම්ලොව සිහසුන් අරා සිටි,⁣මා හා ප්‍රේමයෙන් සිටි,සිහසුන් අරා සිටි,අරක් ගෙන සිටි
Ma Obath Ekka | මා ඔබත් එක්ක,Karunaratna Divulgane,New Pop,Lalith De silva,Rohana Weerasingha,F minor,6/8,"මා ඔබත් එක්ක සුහද කතාවක් 
ඔබෙ ඇසුත් එක්ක ප්‍රේම කතාවක් 
තොරතුරු විමසනවා ආගිය තැන් පවසනවා 
තොරතුරු විමසනවා ආගිය තැන් පවසනවා 
සංසාරේ හුරුපුරුදුයි කියල කියනවා 
කියල කියනවා 
මා ඔබත් එක්ක දිගට කතාවක් 
ඔබෙ ඇසුත් එක්ක ප්‍රේම කතාවක් 
රස රහස් කියනවා විටකදි ඉගිත් කරනවා
රස රහස් කියනවා විටකදි ඉගිත් කරනවා 
ඇවිදින්නට තනිවෙන්නට යමුද අහනවා 
යමුද අහනවා 
සද හිරුත් එක්ක හොරෙන් කතාවක් 
තරු මාත් එක්ක ප්‍රේම කතාවක් 
වරදක් නැහැ කියනා කවුරුත් නොම එයි සිතනා 
වරදක් නැහැ කියනා කවුරුත් නොම එයි සිතනා 
සිත ගන්නට ළං වෙන්නට එන්න අහනවා 
එන්න අහනවා",තරු මාත් එක්ක ප්‍රේම කතාවක්,ඔබ මාත් එක්ක ප්‍රේම කතාවක්,තරු,ඔබ
Mage Duwe Oba – මගෙ දුවේ ඔබ,Karunaratna Divulgane,Classics,Rathna Sri Wijesinge,Rohana Weerasingha,D minor,4/4,"මගෙ දුවේ ඔබ අවදියෙන් නම් 
මේ රැයේ මිහිරිම වෙලාවයි 
දොර ඇරන් එළියට ආවොතින් 
මේ මිහිරි දේවල් නුඹටමයි 
සේපාලිකා මල් බිමට බැහැලා 
ඇවිදින්න යන වෙලාවයි 
නිල් තාරුකා බිම බලාගෙන 
වැව් දියට පෙම් බැඳි වෙලාවයි 
මේ පොළව කොතරම් සුන්දරද 
මගේ දූ තනියම හිනාවෙයි 
ගණ කළුවරට අප පෙම් කලොත් 
ඉර හඳ තරුවනට ණය ගැතියි 
ලොව දුන්නු දේවල් අද අපිට හෙට 
ලොවට පෙරලා දිය යුතුයි 
ඔබ මේ ලොවට ආදරෙයි නම් 
මුළු ලොවම ඔබටත් ආදරෙයි","නිල් තාරුකා බිම බලාගෙන
වැව් දියට පෙම් බැඳි වෙලාවයි",තාරකාවල ප්‍රතිබිම්භය වැව මත් වැටී ඇත,පෙම් බැඳිම,ප්‍රතිබිම්භය වැටීම
La Dalu Bo Path | ලා දළු බෝ පත්,Karunaratna Divulgane,Classics,Rambukkana Siddhartha Thero,H.M.Jayawardhana,E minor,4/4,"ලා දළු බෝ පත් සෙමින් සැලෙන සේ  
යශෝදරා දේවී 
වාවනු බැරි තැන රහසේ හැඬුවා 
පෙර සංසාරේ ඇසුර මතක් වී 
ලා දළු බෝ පත් සෙමින් සැලෙන සේ 
ලේන කුලේ සිට ආගිය මඟ තොට  
සිටියා නොසැලෙන පහන් ටැඹක් වී 
නිවන් දකින තුරු මේ සංසාරේ 
පසු පස ආවා සෙවනැල්ලක් වී 
තැලී සෙනේ සිත සැලී හඬන විට 
වැටී දෙපා ලඟ යශෝදරාවෝ 
පිපී නිවන් මල් සාධුකාර දී 
නිවී පහන් විය උදෑසනක් සේ",ලා දළු බෝ පත් සෙමින් සැලෙන සේ ,නිහඬව හැඬීම,බෝ කොල බිමට වැටෙනවිට ඇසෙන ශබ්දය,නිහඬ බව
Konda Kirilliye | කොණ්ඩ කිරිල්ලියේ,Karunaratna Divulgane,New Pop,Rathna Sri Wijesinge,Rohana Weerasingha,G,6/8,"කොණ්ඩ කිරිල්ලියේ  
කවුද නුඹේ ප්‍රේමවන්තයා 
කොණ්ඩෙ කපනවාද කොණ්ඩෙ බඳිනවාද  
කොණ්ඩෙ කපනවාද බඳිනවාද කියාපන් එයා 
රංචු ඉලන්දාරි කල්ලි ගැහී බෝවිටියා සොයා 
පුංචි කට රතු කර සිංදු එහෙම කියනවාද එයා 
පුංචි කට රතු කර සිංදු එහෙම කියනවාද එයා 
රංචු ඉලන්දාරි කල්ලි ගැහී බෝවිටියා සොයා  
ඔන්න කියන්නෙපා කිරිල්ලියේ නොකිව්වාය කියා 
ඔය ලෙන්ගතුකම් බෑ දෑවැදි ඉල්ලුවොතින් එයා 
රංචු ඉලන්දාරි කල්ලි ගැහී බෝවිටියා සොයා 
පුංචි කට රතු කර සිංදු එහෙම කියනවාද එයා",කොණ්ඩ කිරිල්ලියේ,දිගු කොණ්ඩයක් සහිත කාන්තාව,කොණ්ඩ කිරිල්ලිය,දිගු කොණ්ඩයක් සහිත කාන්තාව
Kohe Ho Numba | කොහේ හෝ නුඹ,Karunaratna Divulgane,New Pop,Shamila Hussain,Dharshana Wickramathunga,D minor,4/4,"කොහේ හෝ නුඹ නතර වි  
කාට හෝ ජීවිතය දී 
තුටින් නම් මට ඒ ඇති 
මගේ නොවුනට කම් නැතී නුඹ 
මගේ නොවුනට කම් නැතී 
උන්න දා අපි අපේ වී නුඹ 
දුන්නු සෙනෙහස අරුමැති 
ලෝභ නෑ හිත අහිමි දා අද 
මමත් දැන් මට හිමි නැතී 
නුඹ ළඟත් මතකය ඇතී 
නමුදු අපි වෙන් වී ඇතී 
එපා රිදවුම් ගන්න දිවියට 
අපිට හිමි ජීවිත ඇතී",කොහේ හෝ නුඹ නතර වි,කාත් සමඟ හෝ විවහා වී,නතර වීම,විවාහය
Gamata Kalin Hiru | ගමට කලින් හිරු,Karunaratna Divulgane,Classics,Sunil Dayananda Konara,Sunil Dayananda Konara,D minor,4/4,"ගමට කලින් හිරු මුළුතැන්ගෙට වඩනා 
ඒ හිරු එළියේ නැණ මල් පොඩි පිපුණා 
ඒ මල් සුවඳේ අද ලොව්තුරු සුව විඳිනා 
කලා වැවේ නිල් දියවර අපෙ අම්මා 
රෑ කළුවර අරගෙන දරුවන් එනතුරු 
සිත නෑ නිවන් දකින්නේ 
රෑ කළුවර ඇවිදින් ඉකිබිඳ හැඬුවත් 
නෙත නෑ නිදි විඳගන්නේ 
හෙට අරුණට සැරසෙන තව දවසක් ගැන 
නින්දේ හීන දකින්නේ 
මහමායාවනි කවදාදෝ ඔය නෙත් 
දරු සෙනෙහසින් මිදින්නේ 
වෙල් දෙනිවල ඇවිදින දෙපා රිදෙන විට 
විහඟ ගීත බණ පද වේවා 
බෝ මලුවක ඇවිලෙන පහන් වැටක් සේ 
තුන් සිත නිවී සැදේවා 
මතු උපදින සසරේ විශාඛාව වී  
මෙත් මඟ නෙත් හමුවේවා 
ඇත් රැජිනියනේ ඔබෙ නැළවිලි ගීතය 
ලොවම නිවන කවියක් වේවා",ගමට කලින් හිරු මුළුතැන්ගෙට වඩනා,ඉර උදා වීමට පෙර අම්මා මුළුතැන් ගෙයට ඒම,හිරු,අම්මා
Gahaka Mal Pipila | ගහක මල් පිපිලා,Karunaratna Divulgane,New Pop,Yamuna Malani Perera,Gunadasa Kapuge,G,4/4,"ගහක මල් පිපිලා පිපෙන්නේ ඇයිද නොදන්නෙමී 
හිතක මල් පිපිලා පිපෙන්නේ ඇයිද නොදන්නෙමී 
නුඹට සිත බැඳුනේ කිමැයිමා තවම නොදන්නෙමි 
නුඹට සිත බැදි කාරණේ මා තවම සොයන්නෙමී 
කතරෙ වැලි කැට හිරුට පෙම්බැද 
ඇතත් ලෝ දහමින් 
සොදුරු වැස්සට දැවෙන කතරත් 
ආදරෙයි පණමෙන් 
ලොවට නොපෙනෙන අරුම සෙනෙහස  
ඒ වගෙයි මනරම් කරනුබැරි තහනම් 
සදට සදහට සෙනෙහෙ පෑමුත්  
උදුල තරු කැටයම් 
හිරුටපෙම් බැදි එකම තරුවක් 
සිටිය නොහැකිද යම් 
නුඹට නොහැගෙන මගේ ප්රේුමය 
ඒ වගේ මනරම් පුදුමවෙයි නුඹ නම්",හිතක මල් පිපිලා,හිතක ඇති වූ ආදරය,මල් පිපීම,ආදරයක් ඇතිවීම
Dura Kathara Gewagena | දුර කතර ගෙවාගෙන,Karunaratna Divulgane,New Pop,Rathna Sri Wijesinge,H.M.Jayawardhana,F,6/8,"දුර කතර ගෙවාගෙන 
මම නොකියම ආවට 
මට සමාවෙයන් බණ්ඩර මැණිකේ 
අර බලන්න අර පුර හඳ අහසේ 
දුම් වලාකුළෙන් තරුකැට හැංගිලා 
නෙත් කොණින් බලා මට ඉඟි බිඟි කළා 
මට ඉන්නට බෑ කොළොම්තොටට වෙලා 
උඹෙ කතා කරන දෑස මතක් වෙලා 
මහා මැදුරු උඩින් පුර හඳ පායලා 
නුඹෙ මුහුණ පෙනුණේ මුළු අහසම පුරා 
ඒ සෙනෙහෙවන්ත කමට වහල් වෙලා 
මට ගම නෑවිත් ඉන්නට බැරිවුණා",කතා කරන දෑස,අලංකාර වූ දෑස්,කතා කරන,අලංකාර වූ
Adaraya Sundara Waradaki | ආදරය සුන්දර වරදකි,Karunaratna Divulgane,New Pop,Yamuna Malani Perera,Gunadasa Kapuge,F minor,4/4,"ආදරය සුන්දර වරදකි 
කිසිදා සමාවක් නම් නැති 
මට පෙන්නලා ආලේ හැටි 
නුඹ දුන්නු දුක හොදටම ඇති 
ඉදුවර නුවන් දෑලේ වැටී පැගී 
දැහැනේ වෙලී උන්මාද වුයේ මා 
වෙනෙකෙකූ දිහා බැලුමට යලි 
මට නෙත් නැතැයි කෙදු‍රැවේ කවුරුන්දෝ 
පුළුවර තාලා වීණා බදින් දැවැටී 
රතගැලි බැදී නින්නාදයේ අනුරා 
හද ස්වර තලා කම්පිත‍ වේවි 
මට මා පවා නැති කලේ කවුරුන්දෝ",ආදරය සුන්දර වරදකි,ආදරය වැරදිකාර දෙයක් ලෙස හැඟුනද එය සුන්දර වේ,සුන්දර වරද,ආදරය
Deno Dahak Nuwan |  දෙනෝ දාහක්,Nanda Malani,Classics,Kularathna Ariyawansa,Victor Rathnayaka,C major,7/8,"දෙනෝ දාහක් නුවන් අතරේ 
කවුරුදෝ මා 
තනි කළේ….. තනි කළේ 
…..පාසැල් බිමේ 
සිනා කෙළිලොල් තෙපුල් රහසේ 
දෙඩූ තැන් අද ගොළු වෙලා 
සොඳුරු පාසැල් පියස 
කඳුලින් බොඳ වෙලා 
කැදැල්ලෙන් ඔබ වෙන් වෙලා 
නිබඳ ඔබ මා ඇවිද ගිය තැන් 
සෙවණ දුන් ගහ කොළ පුරා 
බිමට බරවුණු කැකුළු 
අතු ඉති මැලවිලා 
දුකින් හදවත ගොළුවෙලා",කැදැල්ලෙන් ඔබ වෙන් වෙලා,නිවසින් ඔබ නික්ම ගොසින්,කැදැල්ල,නිවස
Ayanna Kiyanna |  අයන්න කියන්න,Nanda Malani,Classics,Sunil Ariyarathna,Mervin Perera,A major,4/4,"අයන්න කියන්න ලොවටම ඇහෙන්න 
එන්න මගේ මල්ලී 
දුවන්න පනින්න නටන්න ගයන්න 
එන්න මගේ නංගී 
පාසල නම් රන් දෙවොලේ 
දෙවියන් වන් ගුරු කැළගේ 
සිත දිනමින් පා හෙවණේ 
ශිල්ප ලබා මතු දවසේ 
ලෝකය දකින්න එහි සැරිසරන්න 
එන්න මගේ මල්ලී එන්න මගේ නංගී 
කාසි පනම් හිටි හැටියේ 
සතුරෝ ගෙන යති රහසේ 
පොතින් පතින් ලද දැණුමේ 
ධනය සදාකල් සුරැකේ 
ඥානය වඩන්න කාලය ගෙවන්න 
එන්න මගේ මල්ලී එන්න මගේ නංගී",පාසල නම් රන් දෙවොලේ,රත්රන් වලින් ඉදිකල දේවාලයක් බඳු වූ වටිනාකමක් සහිත පාසල,රන් දේවාලය,පාසල
Man Mula wee |  මං මුලා වී,Gunadasa Kapuge,Classics,Sunil Ariyarathna,Gunadasa Kapuge,F minor,4/4,"මං මුලා වී පාර හොයාගෙන  
හසරක් අසමින් යන ගමනේ 
මං මුලා වූ සමනලියකගෙනි  
පාර අසා……. තිබුනේ   
ඇයත් නොදන්නිය ඇය යන මානය 
උන් හිටි තැන් මතකය අඩමානය 
පාර කියන්නේ කෙලෙසද මා හට 
ඇයටද පාරක් ඇති නැති ගානය 
අප හමු වූයේ මන්දැයි නොදනිමි 
පාර ඇසූවේ ඇයි දැයි නොකියමි 
අපේ ගමන අද නවතනු හැකි නම් 
අප යන ගමනද අද මෙතැනින් නිමි",මං මුලා වූ සමනලියකගෙනි,තනි කාන්තාවක්,මංමුලා වූ,තනි වූ
Duka Hadu Dena |  දුක හාදු දෙන,Gunadasa Kapuge,Classics,Wasantha B Dissanayaka,Gunadasa Kapuge,E minor,3/4,"දුක හාදු දෙන රැයේ සිත පතුලටම වෙලා 
යෞවනේ අපට විය විරහි හද ගිලන් වෙලා   
ගහ කොල ද මල් පිපේ ඇළ දොළ  
නිල කඩා හැලේ 
පෙරදාක මිරිඟු සයුරේ ඒ රුවට රැවටුනේ 
නන්නාඳුනන ලෙසේ මග තොට  
යලිත් හමුවෙලා 
මහමෙර හිසින් දරාගෙන අපි යමු දුරස් වෙලා",දුක හාදු දෙන රැයේ,ඉතා දුක්බර වූ රාත්‍රිය,දුක හාදූ දීම,ඉතා දුක්බර වීම
Domba Mal Kalawe |  දොඹ මල් කැලෑවේ,Gunadasa Kapuge,Old Pops,Wasantha B Dissanayaka,Gunadasa Kapuge,F minor,6/8,"දොඹ මල් කැලෑවේ බමරුන් ගැයූ 
කවියක් වගේ ආදරේ... 
අත්වැල් බැඳන් යන්න  ලංවී ලඟින් ඉන්න 
සංසාර ගිරි දුර්ගයේ...   
රෑ පිණි පොදේ සීත මිටියාවතේ 
මේ කේතකී මල් වනේ... 
සඳ සේ උදාවූ සෙනෙහේ නිමාවේද 
දුක් දොරකඩින් හෙට දිනේ 
කටු තුඩු මතින් එන්න කුර ගාව ගාවා 
හිනැහී දෙතොල් ඉරි තලා.. 
පෑතුන් සඳක් නිසරු අහසේ දිලේවා 
කටුවැට උඩින් පාවෙලා",කවියක් වගේ ආදරේ,ආදරය බඹරුන් ගැයූ මිහිරි කවියක් මෙනි,කවිය,ආදරය ත
Dawasak Pala Nethi |  දවසක් පැල,Gunadasa Kapuge,Classics,,,D minor,3/4,"දවසක් පැල නැති ‍හේනේ  
අකාල මහ වැහි වැස්සා  
තුරුලේ හංගාගෙන මා ඔබ‍ තෙමුනා අම්මේ 
පායනතුරු හිටි පියවර හිටියා ඔබ අම්මේ  
නුවර වීදි යටකරගෙන  
නින්දා වැහි වැගිරුනදා 
බිරිඳකගේ සෙනෙහෙ ගියා  
යෝධ ඇලේ නැම්මේ 
ඔබෙ සෙනෙහස සුවඳ දිදී    
දැනුනා මට අම්මේ 
කොළඹ අහස කළුකරගෙන  
මුහුදු හුළඟ හඬලනකොට ‍ 
ඔටුන්න බිම දා දුවගෙන  
එන්නද එක පිම්මේ 
මම එනතුරු ඉදිකඩ ළඟ  
ඉන්නවාද අම්මේ 
මම එනතුරු...ඉදිකඩ ළඟ  
ඉන්නවා...ද අම්මේ....",නින්දා වැහි වැගිරුනදා,දැඩි ලෙස නින්දා අපහාස වලට ලක්වීම,වැහි වැගිරීම,දැඩි ලෙස යමකට ලක්වීම
Dam Patin La |  දම් පාටින් ලා,Gunadasa Kapuge,Classics,Lushan Bulathsinhala,Austin Munasinghe,D major,4/4,"දම් පාටින් ලා සඳ බැස යනවා  
ආකාසේ රන්වන් පාටයි 
සමුගෙන යන්න මගෙන් තව මොහොතයි 
නොදොඩා ඉන්නේ ඇයි……..  
නොදොඩා ඉන්නේ ඇයි 
දම් පාටින් සඳ මුහුණ පෙනෙනවා  
වෙන්වී යන මොහොතක් නෑගෙයි 
දෑසට ලංව තවත් මේ මොහොතේ 
ගොළුවී ඉන්නෙමි මම්………..  
ගොළුවී ඉන්නෙමි මම් 
සෙවනැලි නොමැකේ නම් 
එළිය කළු නොවේ නම් 
බිත්ති පුරා ඔබෙ සෙවනැලි ඇන්දේ  
තනිය මකාගන්නයි 
එනතුරු සොයා මගේ සෙනෙහස මතුදා 
රෑ කල දිගුවේ නම් 
ලා සඳ නොමැකේ නම් 
නෙළුම් පතක ‍රැදි පිණිබිඳුවක් සේ  
ලමැද තලා යහනේ  
ඉන්නම් පමාවෙලා හිරු නැගෙන තුරා",දම් පාටින් ලා සඳ බැස යනවා,ඉර උදා වෙනවා,ලා සඳ බැස යනවා,ඉර උදා වෙනවා
Bindu Bindu Tharaka |  බිංදු බිංදු තාරකා,Gunadasa Kapuge,Old Pops,Lushan Bulathsinhala,H.M.Jayawardhana,D minor,6/8,"බිංදු බිංදු තාරකා කඳුලු මල් විලේ 
උමතු වී සඳයි ඔබයි හිනැහුණා ‍රැයේ 
සුබපැතුම් අගාධයේ ගීතිකා ඇසේ 
අහිමි වූ ආදරේ රත්පියුම් පිපේ 
තනිවී ගිම්හානයේ වැළපේ කොවුලා වනේ.. 
සඳ මත ආදරයේ සෑය මැවේ  
වියැකී බඹර ගීත මලක රොන් දැනේ 
විෂ මදු පුරවා විතේ ගෙනදී දෝතින් ඔබේ.. 
මා හද සෑය දවා දෑස නිවා 
නන්වනු මන්දහාස මියෙන මා නෙතේ",බිංදු බිංදු තාරකා කඳුලු මල් විලේ,දැඩි ලෙස ඇඬූ කඳුලින්,කඳුලු මල් විල,මහා ලෙස වේදනාවෙන් හැඬීම
Awado Sansare |  ආවාදෝ,Gunadasa Kapuge,Classics,Mahinda Dissanayaka,Gunadasa Kapuge,A minor,2/4,"ආවාදෝ........ සංසාරේ 
මා හා බැදී   සැමදා….. පාවි මාගෙ  
සෙවනැල්ල සේ 
ආවාදෝ........ සංසාරේ  
ඔරුවක් පාවුනා පාලුවේ සාගරේ 
තොටියෙක් යාවුනා සිරුවේ සීතලේ 
මිහිරේ ගී ගැයුනාවේ තනිය නසා  
තනිය නසා 
කතරේ වාලුකා පැයුමෙන් වේලුනා 
වැහැලා ඒ බිමෙ මී මලක් පිදුනා 
සිහිල ලබා සිහිලැල්ලෙ නිවී ගියා  
නිවී ගියා",සංසාරේ,පෙම්වතිය,සංසාරය,පෙම්වතිය
Ahasa Usata |  අහස උසට,Gunadasa Kapuge,Old Pops,Saman Guna Herath,Gunadasa Kapuge,G minor,6/8,"අහස උසට නැග ගියාට නැහැනේ අහසේ රැඳෙන්නේ  
අහසේ මාලිගා තැනුවට අපි පොළොවේ සිටින්නේ 
අහස උසට නැග ගියාට නැහැනේ අහසේ රැඳෙන්නේ 
අහසේ මාලිගා තැනුවට අපි පොළොවේ සිටින්නේ  
ලඹ කැටයේ අත්වාරුව බිත්ති දිගේ නගින්නේ  
බිත්තිය ඉහලට යනකොට අපි පොඩියට පෙනෙන්නේ 
සිමෙන්ති කඳුලින් දියකර සත් මහලයි තනන්නේ  
පලංචියේ කිරි කිරියයි අපේ දුකට හඩන්නේ",අහසේ මාලිගා,සිහින මන්දිර,අහස,සිහින
Ahasa Se Oba |  අහස සේ ඔබ,Nanda Malani,Classics,Sunil Ariyarathna,Rohana Weerasingha,B minor,7/8,"අහස සේ ඔබ අනන්තයි 
සයුර සේ ඔබ අනන්තයි.. 
මේ විශ්වයේ මා දකින්නේ…..ඒ 
ඔබමැ පමණයි...ඔබ අනන්තයි 
අනන්තයි 
වෙණ තතක් හැඩවෙන තැනත් ඔබ 
මදුවිතක් උතුරන තැනත් ඔබ... 
තෙළිතුඩක් දැවටෙන තැනත් ඔබ 
පන්හිඳක් ගැවසෙන තැනත් ඔබ 
අඩ සඳක් සැගවෙන තැනත් ඔබ  
රළ පෙළක් පෙරලෙන තැනත් ඔබ.. 
සිසිලසක් දනවන තැනත් ‍ඔබ 
උණුසුමක් ගෙනදෙන තැනත් ඔබ",අහස සේ ඔබ අනන්තයි,බුදු ගුණ අහස සේ අනන්තයි,අහස,අනන්තය
Adaraye Wedanawa |  ආදරයේ වේදනාව,Nanda Malani,Old Pops,Kithsiri Nimal Shantha,Rohana Weerasingha,F minor,6/8,"ආදරයේ වේදනාව හදට දැනුනු යම් දවසක  
හුදකලාව නොතැවී යලි  
එන්න මා සොයා….. එන්න මා සොයා 
දේදුනු පැහැයෙන් දිදුලන ආදර විජිතය හැරදා 
රැජින පලා ගිය මොහොතක  
නොතැවී යලි ඈ සිහිකර  
එන්න මා සොයා….. එන්න මා සොයා 
ජීවිතයට මිහිර ලතැවුල ඔබ තුරුලට ලංවූදා 
නොතැවී හිද තනියහනේ 
මතක සුලං රොදක එතී  
එන්න මා සොයා….. එන්න මා සොයා",දේදුනු පැහැයෙන් දිදුලන ආදර විජිතය හැරදා,වර්ණවත් වූ ආදරයක් පෙන්වා,දේදු⁣න්නේ පාට,වර්ණවත් වූ ආදරය
Abhisarikawange |  අභිසාරිකාවන්ගේ,Gunadasa Kapuge,Classics,Sunil Ariyarathna,Gunadasa Kapuge,F minor,4/4,"අභිසාරිකාවන්ගේ උන්මාද නෙතු අතරේ 
අයාලේ ගිය ජීවිතේ  ඔබෙනි ඵල ගැනුනේ 
අභිසාරිකාවන්ගේ  
රාග ගිනි ජාලාවේ 
ප්‍රේමයේ උණුසුම් සුසුමේ 
වෙනස ඔබෙනි දැනුනේ…..ඒ 
අයාලේ ගිය ජීවිතේ  ඔබෙනි ඵල ගැනුනේ 
ආදරය යන වදනේ 
මනු‍ලොවේ මිනිසත් භවයේ 
මහිම ඔබෙනි හැඟුනේ….ඒ 
අයාලේ ගිය ජීවිතේ  ඔබෙනි ඵල ගැනුනේ",අයාලේ ගිය ජීවිතේ  ඔබෙනි ඵල ගැනුනේ,ඔබ ජීවිතයට එළියක් උනා,ඵල ගැනුනේ,ආලොකයක් උනා
Me Prema Katha |  මේ ප්‍රේම කතා,Charitha Priyadarshani,Duets,Rambukkana Siddhartha Thero,Edward Jayakody,Ab major,,"මේ ප්‍රේම කතා නවතා මොහොතක්‌ 
අපි අවට බලමු ඇස්‌ ඇරලා... 
නැති බැරිකම හතර අතේ 
පාවෙනවා  සුළඟ වගේ 
නැති බැරිකම ජය ගන්නට වෙර දරනා මිනිස්සුන්ට 
අපි දෙන්නා ඔරුවක් වෙමු ජීවන ගඟ පැද යන්නට 
අවුල් තැවුල් පිරිනි ලොවක අසරණවූ මිනිස්සුන්ට 
අපි දෙන්නා පලසක් වෙමු දෙපිය නගා ඇවිදින්නට",අපි දෙන්නා ඔරුවක් වෙමු,අපි දෙදෙනා උදව් කරමු,ඔරුවක් වෙමු,උදව් කරමු
